id,seed_query,candidate_query,context,syntax_valid,sandbox_malicious,notes,malicious_intent_preserved,realistic_for_context,non_trivial_mutation,overall_quality_score,keep,reason,backend,status
1,' OR 'x'='x',SELECT * FROM users WHERE username = '' OR 'x'='x'' AND password = 'anything',login,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
2,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'anything',login,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of a tautology attack in a login context, is realistic, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
3,'; DROP TABLE users;--,SELECT * FROM users WHERE username = ''; DROP TABLE users;--' AND password = 'anything',login,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
4,' OR 1=1 --,SELECT * FROM products WHERE name LIKE '%' OR 1=1 --%',search,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
5,; DROP TABLE IF EXISTS users;--,SELECT * FROM products WHERE name LIKE '%; DROP TABLE IF EXISTS users;--%',search,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of executing a SQL injection attack by incorporating a semicolon and backslash to bypass SQL injection defenses, while being contextually relevant to a search functionality. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
6,/*'*/OR 1=1 /*'*/,SELECT * FROM products WHERE name LIKE '%/*'*/OR 1=1 /*'*/%',search,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
7,1; --,SELECT * FROM users WHERE id = 1; --,id_lookup,true,true,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview,True,True,True,4,True,"The candidate sample preserves the malicious intent of a SQL injection attack, is realistic for an id_lookup context, and demonstrates a non-trivial mutation from the seed.",ollama_local+rules,ok
8,1' AND '1'='1,SELECT * FROM users WHERE id = 1' AND '1'='1,id_lookup,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample is a tautology (SELECT * FROM users WHERE id = 1' AND '1'='1) that maintains the malicious intent of SQL injection, is realistic for an id_lookup context, and is a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
9,SELECT * FROM users WHERE id = 1 OR (SELECT 1 FROM (SELECT 1)) --,SELECT * FROM users WHERE id = SELECT * FROM users WHERE id = 1 OR (SELECT 1 FROM (SELECT 1)) --,id_lookup,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for an id_lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
10,status = 'pending' OR 1=1 --,SELECT * FROM orders WHERE status = 'status = 'pending' OR 1=1 --' ORDER BY date DESC,product_filter,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
